Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,South Asia,SAS,0.85731368488457,0.816391269715124,0.798022937268899,0.775869457615495,0.744151944955516,0.788979963458308,0.771706905766934,0.765115189715504,0.822534708302885,0.904729912267715,0.875091495252029,0.931610006720794,0.922169973956131,0.869825575384446,0.856722630057685,0.9138106781052,0.927335126039132,0.945938208075561,0.960459603887033,0.993098826266166,1.15019171828888,1.27701345810837,1.26894019509157
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,South Asia (IDA & IBRD),TSA,0.85731368488457,0.816391269715124,0.798022937268898,0.775869457615496,0.744151944955516,0.788979963458308,0.771706905766934,0.765115189715504,0.822534708302885,0.904729912267715,0.875091495252029,0.931610006720794,0.922169973956131,0.869825575384446,0.856722630057685,0.9138106781052,0.927335126039132,0.945938208075561,0.960459603887033,0.993098826266165,1.15019171828888,1.27701345810837,1.26894019509157
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Sub-Saharan Africa,SSF,1.59971182310084,1.58559553304878,1.40503030219138,1.79238374865562,1.85805876178009,1.80160996952498,1.83459812480491,1.82081045021539,1.6939589970772,1.90935568687752,1.91807765043175,1.91106655444835,1.84930804085434,1.73447604817953,1.67907468179625,1.77872780417535,1.81506366441835,1.92934964523646,1.86627670525744,1.72415986929233,2.00156621911709,2.03553660948891,1.89488845549503
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,1.59211407835298,1.57278196591149,1.38873159440337,1.78141564163849,1.86346923085684,1.80053026689892,1.84424939252862,1.82834577749612,1.71898708025187,1.93647729681027,1.93777134454097,1.9408870512072,1.86837387716051,1.75059234143651,1.70724656542628,1.80892300930113,1.85655644830687,1.97930444563868,1.91859393806417,1.76979786673395,2.05566955901112,2.09126174512403,1.96081711611402
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,1.59971182310084,1.58559553304878,1.40503030219138,1.79238374865562,1.85805876178009,1.80160996952498,1.83459812480491,1.82081045021539,1.6939589970772,1.90935568687752,1.91807765043175,1.91106655444835,1.84930804085434,1.73447604817953,1.67907468179625,1.77872780417535,1.81506366441835,1.92934964523646,1.86627670525744,1.72415986929233,2.00156621911709,2.03553660948891,1.89488845549503
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Upper middle income,UMC,2.17524379740553,2.15292147645155,2.0990919090959,2.20317810922484,2.23377576658883,2.26280669422921,2.32824022520709,2.37233606968078,2.48715476529381,2.80063819201049,2.72322777003994,2.74720423133989,2.8125057903957,2.91939598668321,3.01983543075169,3.1672413620098,3.13268082195331,3.10789931244661,3.04421840750237,3.08364658225749,3.27009057217055,3.13375632825157,3.37646191354796
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,World,WLD,4.94459045144499,5.15765980629572,5.35181747877338,5.48645933173594,5.4809680423123,5.43392664841442,5.38394637545965,5.3157285704026,5.41103944994995,5.91013099127813,5.69564902807837,5.67149492653303,5.63956232273748,5.60787128227072,5.70952736803962,5.83862790793937,5.90360902229176,5.81031260618513,5.77548678566234,5.84225239496599,6.81894456369388,6.47314586266757,6.21932325524871
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Afghanistan,AFG,110.6,107.5,104.3,100.8,97.4,93.8,90.3,86.8,83.4,80.1,76.9,74,71.2,68.6,66.2,64,61.9,60.1,58.3,56.6,54.9,53.2,51.6
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Albania,ALB,17.8,17,16.1,15.2,14.4,13.5,12.7,11.9,11.1,10.3,9.6,9,8.5,8,7.8,7.6,7.6,7.7,7.8,8,8.1,8.3,8.3
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Algeria,DZA,34.8,33.7,32.5,31.3,30.1,29,27.9,26.9,25.9,25.1,24.4,23.8,23.2,22.7,22.3,21.9,21.6,21.3,21,20.7,20.4,20.2,20
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Andorra,AND,6.6,6.3,6.1,5.8,5.6,5.3,5.1,4.9,4.6,4.4,4.2,4,3.9,3.7,3.5,3.3,3.2,3.1,3,2.9,2.8,2.7,2.6
